module_id,module_title,order,pass_mark_percent,module_description
why-have-a-system,Why Have a System,1,80,Discover the Sandler Sales System
bonding-rapport,Bonding & Rapport,2,80,Building trust early and aligning tone and pace
upfront-contracts,Making Up-Front Contracts,3,80,"Setting clear agendas, time, roles, and next steps"
questioning-1,Questioning Strategies 1,4,80,
questioning-2,Questioning Strategies 2,5,80,
pain,Pain,6,80,
budget,Budget,7,80,
decision,Identifying the Decision Making Process,8,80,
closing,Closing the Sale,9,80,
comfort-zone,Breaking Through Your Comfort Zone,10,80,
call-reluctance,Overcoming Call Reluctance,11,80,
BAT-average,Improving your BAT-ing Average,12,80,
TA-sales-situation,Applying TA to the Sales Situation,13,80,
setting-goals-1,Setting Goals 1,14,80,
setting-goals-2,Setting Goals 2,15,80,
your-formula-for-success,Developing Your Formula For Success,16,80,
reverse-selling,Negative Reverse Selling,17,80,

guts,David Sandler on Guts,18,80,



